method,method_type,train_scenario,eval_scenario,metric,n_runs,mean,std,sem,confidence_level,ci_low,ci_high
bpce_ppo_order_012,learning,time_pressure,time_pressure,avg_reward,1,-86.07511186561902,0.0,0.0,0.95,-86.07511186561902,-86.07511186561902
bpce_ppo_order_012,learning,time_pressure,time_pressure,avg_steps,1,27.5,0.0,0.0,0.95,27.5,27.5
bpce_ppo_order_012,learning,time_pressure,time_pressure,success_rate,1,0.0,0.0,0.0,0.95,0.0,0.0
bpce_ppo_order_012,learning,time_pressure,time_pressure,intercept_rate,1,0.3,0.0,0.0,0.95,0.3,0.3
bpce_ppo_order_012,learning,time_pressure,time_pressure,leak_rate,1,0.6,0.0,0.0,0.95,0.6,0.6
bpce_ppo_order_012,learning,time_pressure,time_pressure,avg_total_damage,1,2.057807732964683,0.0,0.0,0.95,2.057807732964683,2.057807732964683
bpce_ppo_order_012,learning,time_pressure,time_pressure,avg_ammo_used,1,16.0,0.0,0.0,0.95,16.0,16.0
bpce_ppo_order_012,learning,time_pressure,time_pressure,avg_shots,1,16.0,0.0,0.0,0.95,16.0,16.0
bpce_ppo_order_012,learning,time_pressure,time_pressure,hit_rate_per_shot,1,0.09375,0.0,0.0,0.95,0.09375,0.09375
bpce_ppo_order_012,learning,time_pressure,time_pressure,avg_invalid_actions,1,0.0,0.0,0.0,0.95,0.0,0.0
bpce_ppo_order_012,learning,time_pressure,time_pressure,avg_decision_time_ms,1,1.8276454545808851,0.0,0.0,0.95,1.8276454545808851,1.8276454545808851
bpce_ppo_order_012,learning,time_pressure,time_pressure,high_threat_leak_rate,1,0.3333333333333333,0.0,0.0,0.95,0.3333333333333333,0.3333333333333333
bpce_ppo_order_012,learning,time_pressure,time_pressure,avg_zone_weighted_damage,1,2.057807732964683,0.0,0.0,0.95,2.057807732964683,2.057807732964683
bpce_ppo_order_012,learning,time_pressure,time_pressure,assignment_conflict_rate,1,0.0,0.0,0.0,0.95,0.0,0.0
bpce_ppo_order_012,learning,time_pressure,time_pressure,overkill_rate,1,0.0,0.0,0.0,0.95,0.0,0.0
bpce_ppo_order_012,learning,time_pressure,time_pressure,damage_reduction_per_ammo,1,0.05950653247487932,0.0,0.0,0.95,0.05950653247487932,0.05950653247487932
bpce_ppo_order_012,learning,time_pressure,time_pressure,avg_resource_cost,1,17.0,0.0,0.0,0.95,17.0,17.0
bpce_ppo_order_012,learning,time_pressure,time_pressure,engagement_rate,1,0.19393939393939394,0.0,0.0,0.95,0.19393939393939394,0.19393939393939394
bpce_ppo_order_012,learning,time_pressure,time_pressure,actionable_engagement_rate,1,0.9142857142857143,0.0,0.0,0.95,0.9142857142857143,0.9142857142857143
bpce_ppo_order_012,learning,time_pressure,time_pressure,all_noop_episode_rate,1,0.0,0.0,0.0,0.95,0.0,0.0
bpce_random_probe_ppo_order_012,learning,time_pressure,time_pressure,avg_reward,1,-86.07511186561902,0.0,0.0,0.95,-86.07511186561902,-86.07511186561902
bpce_random_probe_ppo_order_012,learning,time_pressure,time_pressure,avg_steps,1,27.5,0.0,0.0,0.95,27.5,27.5
bpce_random_probe_ppo_order_012,learning,time_pressure,time_pressure,success_rate,1,0.0,0.0,0.0,0.95,0.0,0.0
bpce_random_probe_ppo_order_012,learning,time_pressure,time_pressure,intercept_rate,1,0.3,0.0,0.0,0.95,0.3,0.3
bpce_random_probe_ppo_order_012,learning,time_pressure,time_pressure,leak_rate,1,0.6,0.0,0.0,0.95,0.6,0.6
bpce_random_probe_ppo_order_012,learning,time_pressure,time_pressure,avg_total_damage,1,2.057807732964683,0.0,0.0,0.95,2.057807732964683,2.057807732964683
bpce_random_probe_ppo_order_012,learning,time_pressure,time_pressure,avg_ammo_used,1,16.0,0.0,0.0,0.95,16.0,16.0
bpce_random_probe_ppo_order_012,learning,time_pressure,time_pressure,avg_shots,1,16.0,0.0,0.0,0.95,16.0,16.0
bpce_random_probe_ppo_order_012,learning,time_pressure,time_pressure,hit_rate_per_shot,1,0.09375,0.0,0.0,0.95,0.09375,0.09375
bpce_random_probe_ppo_order_012,learning,time_pressure,time_pressure,avg_invalid_actions,1,0.0,0.0,0.0,0.95,0.0,0.0
bpce_random_probe_ppo_order_012,learning,time_pressure,time_pressure,avg_decision_time_ms,1,1.730627272792679,0.0,0.0,0.95,1.730627272792679,1.730627272792679
bpce_random_probe_ppo_order_012,learning,time_pressure,time_pressure,high_threat_leak_rate,1,0.3333333333333333,0.0,0.0,0.95,0.3333333333333333,0.3333333333333333
bpce_random_probe_ppo_order_012,learning,time_pressure,time_pressure,avg_zone_weighted_damage,1,2.057807732964683,0.0,0.0,0.95,2.057807732964683,2.057807732964683
bpce_random_probe_ppo_order_012,learning,time_pressure,time_pressure,assignment_conflict_rate,1,0.0,0.0,0.0,0.95,0.0,0.0
bpce_random_probe_ppo_order_012,learning,time_pressure,time_pressure,overkill_rate,1,0.0,0.0,0.0,0.95,0.0,0.0
bpce_random_probe_ppo_order_012,learning,time_pressure,time_pressure,damage_reduction_per_ammo,1,0.05950653247487932,0.0,0.0,0.95,0.05950653247487932,0.05950653247487932
bpce_random_probe_ppo_order_012,learning,time_pressure,time_pressure,avg_resource_cost,1,17.0,0.0,0.0,0.95,17.0,17.0
bpce_random_probe_ppo_order_012,learning,time_pressure,time_pressure,engagement_rate,1,0.19393939393939394,0.0,0.0,0.95,0.19393939393939394,0.19393939393939394
bpce_random_probe_ppo_order_012,learning,time_pressure,time_pressure,actionable_engagement_rate,1,0.9142857142857143,0.0,0.0,0.95,0.9142857142857143,0.9142857142857143
bpce_random_probe_ppo_order_012,learning,time_pressure,time_pressure,all_noop_episode_rate,1,0.0,0.0,0.0,0.95,0.0,0.0
factorized_engagement_ar_ppo_order_012,learning,time_pressure,time_pressure,avg_reward,1,-86.07511186561902,0.0,0.0,0.95,-86.07511186561902,-86.07511186561902
factorized_engagement_ar_ppo_order_012,learning,time_pressure,time_pressure,avg_steps,1,27.5,0.0,0.0,0.95,27.5,27.5
factorized_engagement_ar_ppo_order_012,learning,time_pressure,time_pressure,success_rate,1,0.0,0.0,0.0,0.95,0.0,0.0
factorized_engagement_ar_ppo_order_012,learning,time_pressure,time_pressure,intercept_rate,1,0.3,0.0,0.0,0.95,0.3,0.3
factorized_engagement_ar_ppo_order_012,learning,time_pressure,time_pressure,leak_rate,1,0.6,0.0,0.0,0.95,0.6,0.6
factorized_engagement_ar_ppo_order_012,learning,time_pressure,time_pressure,avg_total_damage,1,2.057807732964683,0.0,0.0,0.95,2.057807732964683,2.057807732964683
factorized_engagement_ar_ppo_order_012,learning,time_pressure,time_pressure,avg_ammo_used,1,16.0,0.0,0.0,0.95,16.0,16.0
factorized_engagement_ar_ppo_order_012,learning,time_pressure,time_pressure,avg_shots,1,16.0,0.0,0.0,0.95,16.0,16.0
factorized_engagement_ar_ppo_order_012,learning,time_pressure,time_pressure,hit_rate_per_shot,1,0.09375,0.0,0.0,0.95,0.09375,0.09375
factorized_engagement_ar_ppo_order_012,learning,time_pressure,time_pressure,avg_invalid_actions,1,0.0,0.0,0.0,0.95,0.0,0.0
factorized_engagement_ar_ppo_order_012,learning,time_pressure,time_pressure,avg_decision_time_ms,1,1.7662690908599126,0.0,0.0,0.95,1.7662690908599126,1.7662690908599126
factorized_engagement_ar_ppo_order_012,learning,time_pressure,time_pressure,high_threat_leak_rate,1,0.3333333333333333,0.0,0.0,0.95,0.3333333333333333,0.3333333333333333
factorized_engagement_ar_ppo_order_012,learning,time_pressure,time_pressure,avg_zone_weighted_damage,1,2.057807732964683,0.0,0.0,0.95,2.057807732964683,2.057807732964683
factorized_engagement_ar_ppo_order_012,learning,time_pressure,time_pressure,assignment_conflict_rate,1,0.0,0.0,0.0,0.95,0.0,0.0
factorized_engagement_ar_ppo_order_012,learning,time_pressure,time_pressure,overkill_rate,1,0.0,0.0,0.0,0.95,0.0,0.0
factorized_engagement_ar_ppo_order_012,learning,time_pressure,time_pressure,damage_reduction_per_ammo,1,0.05950653247487932,0.0,0.0,0.95,0.05950653247487932,0.05950653247487932
factorized_engagement_ar_ppo_order_012,learning,time_pressure,time_pressure,avg_resource_cost,1,17.0,0.0,0.0,0.95,17.0,17.0
factorized_engagement_ar_ppo_order_012,learning,time_pressure,time_pressure,engagement_rate,1,0.19393939393939394,0.0,0.0,0.95,0.19393939393939394,0.19393939393939394
factorized_engagement_ar_ppo_order_012,learning,time_pressure,time_pressure,actionable_engagement_rate,1,0.9142857142857143,0.0,0.0,0.95,0.9142857142857143,0.9142857142857143
factorized_engagement_ar_ppo_order_012,learning,time_pressure,time_pressure,all_noop_episode_rate,1,0.0,0.0,0.0,0.95,0.0,0.0
